,state,action_space,reward,Q,action
0,[37 60],u,-10,-5.0,0
1,[37 60],r,-0.1,-0.05,2
2,[37 59],l,-10,-5.0,3
3,[37 59],d,-10,-5.0,1
4,[37 59],r,-10,-5.0,2
5,[37 59],u,-0.1,-0.05,0
6,[36 59],r,-10,-5.0,2
7,[36 59],d,-0.1,-0.07250000000000001,1
8,[37 59],u,-0.1,-0.07500000000000001,0
9,[36 59],u,-0.1,-0.05,0
10,[35 59],u,-10,-5.0,0
11,[35 59],l,-10,-5.0,3
12,[35 59],r,-0.1,-0.05,2
13,[35 58],l,-0.1,-0.05,3
14,[35 59],d,-0.1,-0.05,1
15,[36 59],r,-10,-7.5,2
16,[36 59],l,-10,-5.0,3
17,[36 59],u,-0.1,-0.0975,0
18,[35 59],l,-10,-7.5225,3
19,[35 59],r,-0.1,-0.07500000000000001,2
20,[35 58],d,-10,-5.0,1
21,[35 58],u,-10,-5.0,0
22,[35 58],r,-0.1,-0.05,2
23,[35 57],l,-0.1,-0.07250000000000001,3
24,[35 58],l,-0.1,-0.0975,3
25,[35 59],u,-10,-7.5225,0
26,[35 59],d,-0.1,-0.107625,1
27,[36 59],d,-0.1,-0.12000000000000002,1
28,[37 59],r,-10,-7.53375,2
29,[37 59],u,-0.1,-0.13137500000000002,0
30,[36 59],u,-0.1,-0.1325,0
31,[35 59],r,-0.1,-0.11000000000000001,2
32,[35 58],r,-0.1,-0.07500000000000001,2
33,[35 57],d,-10,-5.0,1
34,[35 57],r,-0.1,-0.05,2
35,[35 56],r,-0.1,-0.05,2
36,[35 55],r,-0.1,-0.05,2
37,[35 54],d,-10,-5.0,1
38,[35 54],u,-10,-5.0,0
39,[35 54],l,-0.1,-0.05,3
40,[35 55],d,-0.1,-0.05,1
41,[36 55],r,-10,-5.0,2
42,[36 55],l,-10,-5.0,3
43,[36 55],l,-10,-7.5,3
44,[36 55],u,-0.1,-0.05,0
45,[35 55],r,-0.1,-0.07500000000000001,2
46,[35 54],r,-0.1,-0.05,2
47,[35 53],u,-10,-5.0,0
48,[35 53],l,-0.1,-0.07250000000000001,3
49,[35 54],l,-0.1,-0.07500000000000001,3
50,[35 55],u,-10,-5.0,0
51,[35 55],l,-0.1,-0.05,3
52,[35 56],u,-10,-5.0,0
53,[35 56],d,-10,-5.0,1
54,[35 56],d,-10,-7.5,1
55,[35 56],l,-0.1,-0.05,3
56,[35 57],u,-10,-5.0,0
57,[35 57],r,-0.1,-0.0975,2
58,[35 56],l,-0.1,-0.107625,3
59,[35 57],l,-0.1,-0.12000000000000002,3
60,[35 58],r,-0.1,-0.13137500000000002,2
61,[35 57],u,-10,-7.543875,0
62,[35 57],r,-0.1,-0.12125000000000001,2
63,[35 56],r,-0.1,-0.0975,2
64,[35 55],r,-0.1,-0.11000000000000001,2
65,[35 54],r,-0.1,-0.07500000000000001,2
66,[35 53],d,-0.1,-0.05,1
67,[36 53],r,-10,-5.0,2
68,[36 53],u,-0.1,-0.05,0
69,[35 53],d,-0.1,-0.07500000000000001,1
70,[36 53],l,-10,-5.0,3
71,[36 53],l,-10,-7.5,3
72,[36 53],d,-0.1,-0.05,1
73,[37 53],l,-10,-5.0,3
74,[37 53],d,-10,-5.0,1
75,[37 53],r,-0.1,-0.05,2
76,[37 52],r,-0.1,-0.05,2
77,[37 51],d,-10,-5.0,1
78,[37 51],u,-10,-5.0,0
79,[37 51],l,-0.1,-0.05,3
80,[37 52],d,-10,-5.0,1
81,[37 52],u,-10,-5.0,0
82,[37 52],l,-0.1,-0.05,3
83,[37 53],d,-10,-7.5,1
84,[37 53],u,-0.1,-0.07250000000000001,0
85,[36 53],u,-0.1,-0.07500000000000001,0
86,[35 53],r,-10,-5.0,2
87,[35 53],l,-0.1,-0.12000000000000002,3
88,[35 54],l,-0.1,-0.11000000000000001,3
89,[35 55],d,-0.1,-0.07500000000000001,1
90,[36 55],u,-0.1,-0.0975,0
91,[35 55],l,-0.1,-0.11887500000000002,3
92,[35 56],r,-0.1,-0.1325,2
93,[35 55],r,-0.1,-0.13875000000000004,2
94,[35 54],u,-10,-7.53375,0
95,[35 54],r,-0.1,-0.12125000000000002,2
96,[35 53],d,-0.1,-0.11000000000000001,1
97,[36 53],u,-0.1,-0.137,0
98,[35 53],d,-0.1,-0.1275,1
99,[36 53],d,-0.1,-0.0975,1
100,[37 53],r,-0.1,-0.0975,2
101,[37 52],r,-0.1,-0.07500000000000001,2
102,[37 51],d,-10,-7.5,1
103,[37 51],l,-0.1,-0.0975,3
104,[37 52],d,-10,-7.5225,1
105,[37 52],l,-0.1,-0.107625,3
106,[37 53],u,-0.1,-0.13012500000000002,0
107,[36 53],d,-0.1,-0.142625,1
108,[37 53],r,-0.1,-0.1325,2
109,[37 52],r,-0.1,-0.08750000000000001,2
110,[37 51],l,-0.1,-0.138125,3
111,[37 52],r,-0.1,-0.09375,2
112,[37 51],r,-0.1,-0.05,2
113,[37 50],d,-10,-5.0,1
114,[37 50],l,-0.1,-0.07250000000000001,3
115,[37 51],r,-0.1,-0.07500000000000001,2
116,[37 50],u,-10,-5.0,0
117,[37 50],r,-0.1,-0.05,2
118,[37 49],u,-0.1,-0.05,0
119,[36 49],u,-0.1,-0.05,0
120,[35 49],l,-0.1,-0.05,3
121,[35 50],d,-10,-5.0,1
122,[35 50],l,-0.1,-0.05,3
123,[35 51],u,-10,-5.0,0
124,[35 51],r,-0.1,-0.05,2
125,[35 50],u,-10,-5.0,0
126,[35 50],l,-0.1,-0.07500000000000001,3
127,[35 51],d,-10,-5.0,1
128,[35 51],l,-10,-5.0,3
129,[35 51],u,-10,-7.5225,0
130,[35 51],r,-0.1,-0.07500000000000001,2
131,[35 50],r,-0.1,-0.05,2
132,[35 49],l,-0.1,-0.0975,3
133,[35 50],u,-10,-7.5225,0
134,[35 50],r,-0.1,-0.07500000000000001,2
135,[35 49],d,-0.1,-0.05,1
136,[36 49],d,-0.1,-0.05,1
137,[37 49],l,-0.1,-0.07250000000000001,3
138,[37 50],r,-0.1,-0.07500000000000001,2
139,[37 49],d,-10,-5.0,1
140,[37 49],r,-10,-5.0,2
141,[37 49],r,-10,-7.5225,2
142,[37 49],u,-0.1,-0.07500000000000001,0
143,[36 49],l,-10,-5.0,3
144,[36 49],r,-10,-5.0,2
145,[36 49],u,-0.1,-0.07500000000000001,0
146,[35 49],u,-10,-5.0,0
147,[35 49],l,-0.1,-0.1325,3
148,[35 50],l,-0.1,-0.12125000000000002,3
149,[35 51],d,-10,-7.53375,1
150,[35 51],r,-0.1,-0.12125000000000002,2
151,[35 50],r,-0.1,-0.08750000000000001,2
152,[35 49],r,-0.1,-0.05,2
153,[35 48],l,-0.1,-0.07250000000000001,3
154,[35 49],l,-0.1,-0.155625,3
155,[35 50],r,-0.1,-0.11625000000000002,2
156,[35 49],r,-0.1,-0.07500000000000001,2
157,[35 48],r,-0.1,-0.05,2
158,[35 47],d,-10,-5.0,1
159,[35 47],l,-0.1,-0.05,3
160,[35 48],d,-10,-5.0,1
161,[35 48],r,-0.1,-0.07500000000000001,2
162,[35 47],u,-10,-5.0,0
163,[35 47],r,-10,-5.0,2
164,[35 47],l,-0.1,-0.07500000000000001,3
165,[35 48],u,-10,-5.0,0
166,[35 48],d,-10,-7.532625,1
167,[35 48],l,-0.1,-0.10875000000000001,3
168,[35 49],d,-0.1,-0.0975,1
169,[36 49],d,-0.1,-0.107625,1
170,[37 49],l,-0.1,-0.11887500000000001,3
171,[37 50],l,-0.1,-0.12000000000000002,3
172,[37 51],r,-0.1,-0.12125000000000002,2
173,[37 50],r,-0.1,-0.12125000000000002,2
174,[37 49],u,-0.1,-0.12125000000000002,0
175,[36 49],l,-10,-7.53375,3
176,[36 49],l,-10,-8.800625,3
177,[36 49],u,-0.1,-0.12125000000000002,0
178,[35 49],u,-10,-7.53375,0
179,[35 49],u,-10,-8.800625,0
180,[35 49],r,-0.1,-0.12125000000000002,2
181,[35 48],u,-10,-7.53375,0
182,[35 48],r,-0.1,-0.12125000000000002,2
183,[35 47],l,-0.1,-0.13643750000000002,3
184,[35 48],l,-0.1,-0.14825000000000002,3
185,[35 49],d,-0.1,-0.14718124999999999,1
186,[36 49],u,-0.1,-0.16518750000000004,0
187,[35 49],r,-0.1,-0.16518750000000004,2
188,[35 48],l,-0.1,-0.1903565625,3
189,[35 49],d,-0.1,-0.172021875,1
190,[36 49],d,-0.1,-0.15730625,1
191,[37 49],l,-0.1,-0.1634375,3
192,[37 50],l,-0.1,-0.16456250000000003,3
193,[37 51],r,-0.1,-0.16518750000000004,2
194,[37 50],r,-0.1,-0.16518750000000004,2
195,[37 49],r,-10,-8.8158125,2
196,[37 49],u,-0.1,-0.18141281250000002,0
197,[36 49],r,-10,-7.5707878125,2
198,[36 49],u,-0.1,-0.20262500000000003,0
199,[35 49],l,-0.1,-0.18012500000000004,3
200,[35 50],r,-0.1,-0.18245937500000003,2
201,[35 49],l,-0.1,-0.19462500000000005,3
202,[35 50],l,-0.1,-0.16518750000000004,3
203,[35 51],r,-0.1,-0.18495937500000004,2
204,[35 50],l,-0.1,-0.21582546875000003,3
