,0,1,2,3
[37 60],-5.0,0.0,-0.05,0.0
[37 59],-0.13137500000000002,-5.0,-7.53375,-5.0
[36 59],-0.1325,-0.12000000000000002,-7.5,-5.0
[35 59],-7.5225,-0.107625,-0.11000000000000001,-7.5225
[35 58],-5.0,-5.0,-0.13137500000000002,-0.0975
[35 57],-7.543875,-5.0,-0.12125000000000001,-0.12000000000000002
[35 56],-5.0,-7.5,-0.1325,-0.107625
[35 55],-5.0,-0.08750000000000001,-0.13875000000000004,-0.11887500000000002
[35 54],-7.53375,-5.0,-0.12125000000000002,-0.13875000000000004
[36 55],-0.0975,-0.08750000000000001,-5.0,-8.7725
[35 53],-5.0,-0.1275,-5.0,-0.15950000000000003
[36 53],-0.17250000000000001,-0.142625,-5.0,-7.5
[37 53],-0.1767125,-7.5,-0.1325,-5.0
[37 52],-5.0,-7.5225,-0.16943750000000002,-0.16236875
[37 51],-5.0,-7.5,-0.16518750000000004,-0.17905625
[37 50],-5.0,-5.0,-0.16518750000000004,-0.19443750000000004
[37 49],-0.18141281250000002,-5.0,-8.8158125,-0.20577187500000002
[36 49],-0.20262500000000003,-0.20220000000000002,-7.5707878125,-8.800625
[35 49],-8.800625,-0.20679875,-0.18715625000000002,-0.19462500000000005
[35 50],-7.5225,-5.0,-0.21556406250000004,-0.21582546875000003
[35 51],-7.5225,-7.53375,-0.22458640625000004,-5.0
[35 48],-7.53375,-7.532625,-0.22404380468750001,-0.222588125
[35 47],-5.0,-5.0,-7.561396875,-0.23347475
[37 55],-0.12000000000000002,-5.0,-7.5,-0.05
[37 56],-5.0,0.0,0.0,-0.11000000000000001
[37 57],-5.0,-0.07500000000000001,-0.07500000000000001,-5.0
[38 57],-0.07250000000000001,-0.07500000000000001,-5.0,0.0
[39 57],-0.05,-0.07500000000000001,-5.0,-0.1325
[39 58],-5.0,-5.0,-0.0975,-0.11000000000000001
[39 59],-5.0,-7.5,-0.0975,-0.13137500000000002
[40 57],-0.10875000000000001,-0.07500000000000001,-7.5,-5.0
[39 60],-5.0,-5.0,-0.10875000000000001,-0.1325
[41 57],-0.107625,-5.0,0.0,0.0
[39 61],-0.12125000000000002,-9.408750000000001,-0.10875000000000001,-0.16012500000000002
[39 62],-7.5225,-7.557375,-0.15275,-0.13625
[39 63],-0.0975,-0.08750000000000001,-0.180965625,-5.0
[38 61],-0.16943750000000002,-0.1325,-7.543875,-7.543875
[37 61],-0.24230390625000003,-0.17450000000000002,-7.5,-5.0
[36 61],-0.21234375000000003,-0.21403125000000003,-5.0,-7.5225
[35 61],-0.21882656250000002,-0.24118593750000003,-7.543875,-9.470062500000001
[34 61],-0.17815625000000002,-0.24285796875000001,-8.8090625,-8.783750000000001
[33 61],-8.839437499999999,-0.1969578125,-0.25202390625000004,-5.0
[33 60],-8.86466421875,-7.5761034375,-0.27454964062500004,-0.21298359375
[38 63],-0.05,-0.07500000000000001,-7.5,-5.0
[37 63],-0.05,-0.05,-5.0,-5.0
[36 63],0.0,-0.05,-5.0,0.0
[40 63],-0.12000000000000002,-0.142625,-7.5,-7.5
[33 59],-10.14088627734375,-7.53375,-0.27425257812500003,-0.263669765625
[33 58],-5.0,-5.0,-0.2722354453125,-0.2781368515625
[33 57],-7.55855625,-8.82543125,-0.2782154296875,-0.27478602421875004
[33 56],-5.0,-8.89407294921875,-0.30946460566406253,-0.21527695312500006
[33 55],-10.010838374999999,-8.800062500000001,-0.26542560937500004,-0.2786253515625
[33 54],-8.856866703125,-5.0,-0.30166070703125003,-0.272351390625
[33 53],-10.000895132812499,-10.03084660546875,-0.28051238281250007,-0.27597523437500004
[33 52],-9.508003124999998,-8.911672484375,-0.290468212109375,-0.3009271250000001
[33 51],-5.0,-5.0,-0.3158781638671876,-0.3158782671875001
[33 50],-7.6204223203125,-7.559625,-0.32064935742187506,-0.3280096989257813
[33 49],-5.0,-5.0,-0.3588923388447266,-0.3444288462011719
[33 48],-9.579334595507813,-10.068720737282227,-0.3529693467382813,-0.36811607132568364
[33 47],-0.3842836476316407,-8.8577046875,-8.8575640625,-0.3760052490004883
[32 47],-0.4002101563701417,-0.391211397159668,-7.57914375,-7.6021516875
[31 47],-0.42108730165280767,-0.4059440628654786,-5.0,-10.104761491149903
[30 47],-0.4255666944764478,-0.41724130866193854,-7.53375,-7.631794923164063
[29 47],-0.44806827866883514,-0.4264270831064771,-8.95917131271875,-8.976951178374511
[28 47],-0.4382485505010365,-0.4404699779666035,-7.543875,-9.60444931772168
[27 47],-0.42912390557573227,-0.45249736316922906,-9.947554868827638,-10.136379191210938
[26 47],-0.39595332792534677,-0.4530732961496704,-9.52219004296875,-10.142661034925048
[25 47],-9.630430011679497,-0.4102461138446778,-0.416282152470459,-9.512503125
[25 46],-9.5307590625,-9.884952705078124,-0.38710366269042973,-0.36716375419311525
[25 45],-9.95363746736328,-0.35902769472656254,-7.5,-0.3839557911376954
[26 45],-0.36313202203564454,-0.3619751167578125,-7.5777515625,-5.0
[27 45],-0.3703130754394532,-5.0,-0.3574017871484375,-7.581749671875
[27 44],-7.5710409375,-8.927671979360351,-0.35851324573437504,-0.3777674034423829
[27 43],-0.3290502040625,-8.816459375,-9.876409702929688,-0.3730208826977539
[26 43],-0.33284142073242196,-0.33797556875,-8.90533353125,-7.6135747828125
[25 43],-0.329527414453125,-0.3528833870507813,-9.457265625000002,-9.590687670732422
[24 43],-0.3556138977734375,-0.3551436598828126,-7.5710409375,-7.5225
[23 43],-0.34311356601562504,-0.36734029848242195,-8.830296875,-0.33252888476562503
[22 43],-0.31752841050781255,-0.3531605586914063,-7.5225,-8.918868741992188
[23 44],-9.87777170703125,-9.51851934375,-0.33324123054687504,-0.30779848554687506
[21 43],-5.0,-0.3193615800781251,-7.5,-5.0
[23 45],-0.3134833605468751,-7.554,-0.31407202343750007,-5.0
[22 45],-0.3263967143554688,-0.3041684414062501,-5.0,-9.553383287109376
[21 45],-0.30380805781250003,-0.31604203417968757,-7.5879271875,-8.897032858496093
[20 45],-0.264355875,-0.3178530482421876,-5.0,-7.54843125
